open,close,high,low,uptrend,timestamp,sequence,date
5020.58,5014.6650376,5020.58,5014.6650376,False,1769470260000,0,2026-01-26 23:31:00
5014.6650376,5008.7500752,5014.6650376,5008.7500752,False,1769470320000,00,2026-01-26 23:32:00
5008.7500752,5002.8351127999995,5008.7500752,5002.8351127999995,False,1769470560000,000,2026-01-26 23:36:00
5008.7500752,5014.6650376,5014.6650376,5008.7500752,True,1769470920000,0001,2026-01-26 23:42:00
5014.6650376,5020.58,5020.58,5014.6650376,True,1769475600000,00011,2026-01-27 01:00:00
5020.58,5026.4949624,5026.4949624,5020.58,True,1769475780000,000111,2026-01-27 01:03:00
5026.4949624,5032.4099248,5032.4099248,5026.4949624,True,1769475840000,0001111,2026-01-27 01:04:00
5032.4099248,5038.3248872,5038.3248872,5032.4099248,True,1769476380000,00011111,2026-01-27 01:13:00
5038.3248872,5044.2398496000005,5044.2398496000005,5038.3248872,True,1769476620000,000111111,2026-01-27 01:17:00
5044.2398496000005,5050.154812000001,5050.154812000001,5044.2398496000005,True,1769477940000,0001111111,2026-01-27 01:39:00
5050.154812000001,5056.069774400001,5056.069774400001,5050.154812000001,True,1769478120000,00011111111,2026-01-27 01:42:00
5050.154812000001,5044.2398496000005,5050.154812000001,5044.2398496000005,False,1769479140000,000111111110,2026-01-27 01:59:00
5044.2398496000005,5038.3248872,5044.2398496000005,5038.3248872,False,1769481720000,0001111111100,2026-01-27 02:42:00
5038.3248872,5032.4099248,5038.3248872,5032.4099248,False,1769481720000,00011111111000,2026-01-27 02:42:00
5032.4099248,5026.4949624,5032.4099248,5026.4949624,False,1769482080000,000111111110000,2026-01-27 02:48:00
5026.4949624,5020.58,5026.4949624,5020.58,False,1769482200000,0001111111100000,2026-01-27 02:50:00
5026.4949624,5032.4099248,5032.4099248,5026.4949624,True,1769482620000,00011111111000001,2026-01-27 02:57:00
5026.4949624,5020.58,5026.4949624,5020.58,False,1769482860000,000111111110000010,2026-01-27 03:01:00
5026.4949624,5032.4099248,5032.4099248,5026.4949624,True,1769483040000,0001111111100000101,2026-01-27 03:04:00
5032.4099248,5038.3248872,5038.3248872,5032.4099248,True,1769483100000,00011111111000001011,2026-01-27 03:05:00
5038.3248872,5044.2398496000005,5044.2398496000005,5038.3248872,True,1769483160000,000111111110000010111,2026-01-27 03:06:00
5044.2398496000005,5050.154812000001,5050.154812000001,5044.2398496000005,True,1769483400000,0001111111100000101111,2026-01-27 03:10:00
5050.154812000001,5056.069774400001,5056.069774400001,5050.154812000001,True,1769483460000,00011111111000001011111,2026-01-27 03:11:00
5056.069774400001,5061.984736800001,5061.984736800001,5056.069774400001,True,1769483460000,000111111110000010111111,2026-01-27 03:11:00
5061.984736800001,5067.899699200001,5067.899699200001,5061.984736800001,True,1769483580000,0001111111100000101111111,2026-01-27 03:13:00
5061.984736800001,5056.069774400001,5061.984736800001,5056.069774400001,False,1769485260000,00011111111000001011111110,2026-01-27 03:41:00
