time,open,high,low,close,tick_volume,spread,real_volume
2026-01-22 17:11:00,4834.3,4837.22,4833.9,4836.12,808,12,0
2026-01-22 17:12:00,4836.12,4838.6,4835.53,4838.01,675,12,0
2026-01-22 17:13:00,4838.04,4840.75,4838.02,4839.7,792,12,0
2026-01-22 17:14:00,4839.71,4840.67,4838.41,4839.27,627,12,0
2026-01-22 17:15:00,4839.27,4839.71,4836.17,4837.69,723,12,0
2026-01-22 17:16:00,4837.69,4840.47,4837.17,4837.86,982,12,0
2026-01-22 17:17:00,4837.86,4842.76,4837.85,4842.48,825,12,0
2026-01-22 17:18:00,4842.49,4843.74,4841.52,4841.97,624,12,0
2026-01-22 17:19:00,4841.97,4842.43,4840.93,4841.81,544,12,0
2026-01-22 17:20:00,4841.83,4843.65,4841.48,4842.84,506,12,0
2026-01-22 17:21:00,4842.84,4843.82,4841.11,4841.42,575,14,0
2026-01-22 17:22:00,4841.42,4843.51,4841.16,4842.02,538,12,0
2026-01-22 17:23:00,4841.99,4843.16,4841.36,4842.29,463,12,0
2026-01-22 17:24:00,4842.28,4844.23,4841.98,4842.9,503,12,0
2026-01-22 17:25:00,4842.9,4848.09,4842.3,4846.05,892,12,0
2026-01-22 17:26:00,4846.05,4853.41,4846.05,4853.1,1015,12,0
2026-01-22 17:27:00,4853.08,4853.81,4851.1,4851.31,896,12,0
2026-01-22 17:28:00,4851.31,4855.18,4850.33,4855.15,792,12,0
2026-01-22 17:29:00,4855.15,4856.3,4852.54,4853.92,835,12,0
2026-01-22 17:30:00,4853.83,4855.5,4853.42,4855.28,782,12,0
2026-01-22 17:31:00,4855.28,4860.1,4854.89,4859.07,911,12,0
2026-01-22 17:32:00,4859.07,4860.1,4856.86,4857.09,692,12,0
2026-01-22 17:33:00,4857.09,4860.1,4856.87,4859.93,602,12,0
2026-01-22 17:34:00,4859.93,4864.85,4859.93,4863.59,853,12,0
2026-01-22 17:35:00,4863.59,4864.98,4862.1,4862.33,643,12,0
2026-01-22 17:36:00,4862.33,4865.89,4860.55,4865.1,760,12,0
2026-01-22 17:37:00,4865.1,4865.46,4862.0,4863.01,857,12,0
